n#11124961	Fernand_Léger Fernand_léger
n#09880881	prefeito presidente_da_câmara
n#11151579	Bronisław_Malinowski Bronisław_malinowski
n#11149630	Gustav_Mahler Gustav_mahler
n#11993007	Machaeranthera
n#14583228	flogístico flogisto
n#02996840	cefalosporina
n#14824906	indeno
n#00830257	uso
n#15262921	hoje_em_dia
n#06858674	ponto_pedal
n#03759954	microfone microfone
n#01503061	ave pássaro
n#01756291	cascavel-chifruda
n#06191687	Soteriologia soteriologia
n#09293917	Montanhas_Great_Smoky Montanhas_great_smoky
n#11054173	Jimmy_Hoffa
v#01368597	endereçar
n#09498072	Esteno Ésteno
v#00875394	propor sugerir
n#14370992	epistaxis hemorragia_nasal epistaxe Epistaxe
n#07496463	sofrimento dor
n#11384159	Patrick_White Patrick_white
n#01551915	Procnias
n#10209731	Corretor_de_Seguros Corretor_de_seguros
a#00120784	incógnito anónimo anônimo
n#05833683	pesar dor aflição
n#08777919	Maçuá
n#03784053	monocarril
a#00110701	digital
n#05918379	Teorema_de_Bayes Teorema_de_bayes
n#09281411	planície planícies
a#02451113	tratável
a#02742844	natal
n#03077958	sistemas_de_comunicações
n#02147034	Eptesicus
n#00480993	basquetebol Basquetebol basquete bola-ao-cesto
n#02374451	cavalo cavalos equídeos égua cavalo_de_pau
n#13938899	astigmatismo
a#02208971	octogésima octogésimo
n#07515560	silêncio paz quietude
n#06783265	posição
n#07646403	pombo
a#01460421	abominável
n#14042423	asfixia asfixia
n#06942252	Língua_albanesa língua_albanesa albanês
n#03192543	Ditafone
n#15277462	velocidade_de_hemossedimentação
n#11409329	Alotropia alotropia
n#08982587	Polónia Polônia Polónia Polônia Polonia
n#10947628	George_Eastman
n#03701391	metralhadora Metralhadoras metralhadora
a#01863246	seletivo selectivo
a#01054832	fétido
n#05757049	assimilação
r#00140403	naturalmente
n#06593296	revista jornal
v#02304648	arrebatar comprar_rapidamente
n#06833663	x X
n#03888998	Interface_paralela
n#00104249	impulso ímpeto arranco
v#00704249	estar_hospedado
n#07989741	Irmãos_Marx Irmãos_marx
n#08887013	Ilhas_do_Canal Ilhas_do_canal
n#13905572	flambagem
v#01894520	voar
n#09322454	Júpiter Júpiter
v#01315613	procurar buscar
n#04004210	placa carta
n#08840964	Bairiki
n#13790133	Números_pares_e_ímpares
n#13438817	biossíntese biossíntese biogênese
n#01169317	resistência
n#08475070	Galicanismo
v#01390486	lacerar
n#12119947	Eragrostis
n#05909097	Conspiração_da_Pólvora Conspiração_da_pólvora
n#04394031	tara
n#04688842	sedução
a#00775301	discriminativo
n#11477384	campo_magnético Campo_Magnético Campo_magnetico campo_magnético
n#08953324	República_da_Islândia Islândia Islândia
n#07985135	Conjunto_unitário Conjunto_unitario conjunto singleto
n#13984944	sombra
n#13520981	neurogénese
n#01482754	Hexanchidae
n#04467099	Reboque_automotivo
a#02301180	desnutrido
n#04701162	Lustre
r#00061203	mais_tarde depois subseqüentemente em_seguida sendo_assim por_conseguinte atrás logo subsequentemente posteriormente após
n#03375956	transparência
n#05786655	introspecção introspecção
n#11280405	Margaret_Sanger Margaret_sanger
v#00595505	desconhecer ignorar
n#02813752	bazuca
n#15243730	éon
n#15150618	Década_de_1970 década_de_1970
a#00797113	potável
v#01222016	aglutinar
n#14309394	síndrome_das_pernas_inquietas
n#03757428	metronidazol
a#01595596	anormal
n#14248069	nevus_araneus telangiectasia
a#02086472	sem_consciência
n#05871362	abecê abc á-bê-cê
a#02785874	provincial
n#09388023	pedra seixo seixo
n#05432420	homozigoto
n#01302449	Guerra_dos_Seis_Dias Guerra_dos_seis_dias
n#14014849	hibernação
n#07986066	trio tríade trindade
n#13919059	Ângulo_visual
n#11042691	Henrique_VI_de_Inglaterra Henrique_vi_de_inglaterra
n#03789171	câmera câmara
n#11370314	Morrison_Waite Morrison_waite
n#13801700	indicativo modo_indicativo
n#11460488	fila_de_espera
a#00581401	invisível
n#10879551	Calígula Caligula Caio
r#00055739	abusivamente de_forma_abusiva
n#09169801	Deserto_de_Góbi Deserto_de_Gobi Deserto_de_góbi Deserto_de_gobi
n#14402922	gagueira gaguejo
n#13871538	raio
r#00218886	admiravelmente admirávelmente de_forma_admirável
n#07429976	invasão
a#01820338	negativo
n#11646694	Araucaria_bidwillii
n#11374448	Andy_Warhol Andy_warhol
n#08094262	Sinédrio
v#00251064	evoluir desenvolver
n#14686723	mistura_gasolina-álcool
n#11658872	Retrophyllum
v#02434541	unir_em_confederação confederar
n#09214422	Mar_de_Barents Mar_de_barents mar_de_Barents
n#08944378	Ródano_Alpes Ródano-Alpes Ródano-alpes
n#02758600	Auschwitz-Birkenau Auschwitz-birkenau
r#00350704	gratuitamente
v#01448100	puxar
n#05145708	custo_marginal
n#07664770	jerked_beef
n#09973624	Timoneiro
v#01691057	escrever
n#07873464	pilaf
a#01693425	extracurricular
n#12587803	coqueiro palmeira coqueiro
v#00064095	aliviar melhorar amenizar atenuar
n#03628590	Kremlin Kremlin
n#06155567	história História Historia
n#04251983	boneco_de_neve
n#08896327	sultanato
n#01074252	antagonismo antagonismo
n#07399336	Tremolo
n#09559573	Érebo
a#01994180	deferente
n#03442597	Gnómon gnômon
n#08245549	Máfia Máfia
v#00236104	restringir
n#11169418	William_McKinley William_mckinley
a#02857893	fonético
a#00988797	anoréxico
n#03622207	Garrafa_de_klein garrafa_de_Klein
n#01228792	galanteria
v#01569566	instalar
n#10211203	estágio
n#04984514	dissonância
n#09599891	Hamlet
n#14661740	ítrio itrio Itrio ítrio
n#04866866	indecisão
n#04689660	atracção
v#01979241	desembarcar-se
n#13723577	quilate quilate
v#01419729	agitar
n#06510103	ficheiro_em_disco
n#10079893	facista fascista
n#13484303	fragmentação
n#11907267	Platystemon
n#09430771	Rio_Severn
n#07229530	ostentamento
n#00385649	disjunção
n#04726724	natureza
n#01959492	Tridacna_gigas
v#01317276	registar
n#00751145	falsificação adulteração
n#00669687	Aborto_por_sucção
n#04518764	maleta malademão
a#00928414	desaparecido
n#01201906	cocooning
n#01965747	Pectinidae Vieira
n#09701603	inglês Inglês
n#11471578	calor_de_fusão
a#01244195	inóspito
n#01787006	Aranha_do_mar Aranha-do-mar Pycnogonida
v#00464828	sincronizar
n#09350922	Glaciar_mendenhall glaciar_Mendenhall
v#00832778	notificar noticiar
v#01888511	tiritar tremer estremecer
n#14713487	efedrina
n#08947319	Guiné Guiné Guine República_da_Guiné
n#05543177	articulação_sinovial
a#01995596	escarnecedor zombador
n#14999106	protease Protease
n#11226933	Linus_Pauling Linus_pauling
a#00304455	ondeante
a#02700029	colonial
n#00703688	terapia_em_grupo
n#09426788	mar oceano oceanos
n#12537988	Laburnum
n#04666083	negligência deliquência
v#00889555	garantir
v#00088532	intoxicar embriagar
n#10257647	libertino
n#07771212	noz nogueira-comum nogueira
n#06855985	selo
a#01024073	flexível
n#13445831	quelato
n#05268965	tecido_adiposo
n#11410298	cristalização
n#05694232	ponto_fulcral
n#01892876	Neomys
v#01186428	amamentar dar_de_mamar alimentar_um_bebê_com_o_leite_produzido_pelas_próprias_glândulas_mamárias
n#14744417	Carbonato_de_amônio carbonato_de_amônio
n#13486270	Gasificação gaseificação
n#01501160	Rajidae raia
n#09177647	Cítia
v#01653013	fabricar construir confeccionar
a#01854129	suplementar adicional auxiliar
n#03938838	pilocarpina
n#08852209	Butão Butão Butao Butã
a#00185607	comprável adquirível à_venda
n#10906462	Arthur_Conan_Doyle Arthur_conan_doyle
n#15150790	Década_de_1770
a#02889746	marítimo marinho náutico
v#02151966	ter_cuidado tomar_cuidado
v#00058897	parir
n#02426481	Raphicerus_campestris
n#06997697	Línguas_nilo-saarianas
a#03148333	contestado
n#01192150	veredicto veredicto veredito
n#02871439	estante
n#11126490	Lênin Lenin
n#11224419	Blaise_Pascal Blaise_pascal
a#01601592	do_nordeste nordestina nordestino para_o_nordeste
n#11619845	Lariço_europeu Lariço-europeu
v#01879579	bater
n#02995345	Unidade_Central_de_Processamento CPU processador
n#05761559	memória reminiscência
n#01006054	eletromiografia
n#04310018	Locomotivas_a_vapor locomotiva_a_vapor
n#11024419	Asaph_Hall Asaph_hall
n#13270373	oferenda
n#06893565	interpretação
n#15196444	Véspera_de_Natal Véspera_de_natal Missa_do_galo consoada
a#00344125	variável mutável
n#15091129	tiamina
n#14800277	coenzima
n#03553248	bomba_de_hidrogênio H-bomba
n#11428699	radiação_beta
a#01269506	faminto faminta voraz
a#01126841	lamentável deplorável
a#02089514	escondida
n#01883212	Dasyuridae
n#08753561	Vieques
n#09144851	Houston Houston Texas
n#11057381	Homero
n#09292545	Cordilheira_Australiana cordilheira_australiana
n#11822167	Tetragonia
n#08466175	cubismo
a#01824081	impossível
n#08623568	locus locus
n#09035153	Dodoma Dodoma
n#13904325	diagonal
a#00241672	bípede
n#14125159	Blastomicose
n#08441203	jurisprudência lei ciências_jurídicas
n#14085708	Encefalopatia encefalopatia
n#12005500	Pulicaria
n#05278714	Púbis púbis
n#07427060	atrofia
a#02335828	suficiente bastante
n#02454999	Tatu_bola Tatu-bola
n#14302460	aura
n#02723595	Antipiréticos antipirético
a#00800464	desafiado
n#11264002	Robert
n#06552984	mandado mandato
a#00733541	invejável
r#00231765	voluntariamente voluntàriamente
n#10974136	Jane_Fonda Jane_fonda
a#01176246	patológico mórbido
n#06272290	telefone Telefonia telefonia
n#01654637	Xenopus_laevis
n#00463543	hóquei_no_gelo Hóquei hóquei
n#08646787	paisagem
a#00022219	fiel
n#04155310	doodle garrancho
n#00085041	Preemptividade preempção
r#00433247	de_forma_proibitiva proibitivamente
n#04358707	supermercado Supermercados supermercado supermarket
n#00445351	remo
n#00336654	incline
n#02743426	arsenal
a#02840935	umbilical
n#13453640	corrupção
n#09715685	Tribos_de_Israel Tribos_de_israel israelita
n#07322769	maquilagem
n#07528097	vitória triunfo
n#15067877	gás_lacrimogéneo
n#15097578	soro_de_leite soro
n#11259457	David_Ricardo David_ricardo
n#04318384	Boneco_palito
n#12874429	Pedaliaceae
n#10066732	avaliador julgador julgadora juíza
n#09401834	quark quark
n#13398469	nota_promissória
v#00293528	vestir
n#05646535	anormalidade
n#13613985	hectare hectare
n#00189565	corrida
n#04347754	Submarinos submarino
n#13962166	sobrevivência
n#06249910	descritivismo
n#07570237	Gluten glúten gluten glúten
